,n_pixels,mse,R2,r,exp_var,var_pred,var_target,delta_min,delta_max,img,structure,train_or_test,c_max
0,8388608,0.427227318286896,0.549894868621166,0.744334816932678,0.549894541501999,0.442774474620819,0.949171602725983,-16.0245227813721,9.08492279052734,0,"Z-stack
(Confocal)",Mitochondria,
0,8388608,0.403727829456329,0.568560746030159,0.754052817821503,0.568560928106308,0.528573095798492,0.935770213603973,-16.8819522857666,10.3813095092773,1,"Z-stack
(Confocal)",Mitochondria,
0,8388608,0.465287387371063,0.491087145297914,0.720737814903259,0.491087436676025,0.313165217638016,0.914277613162994,-21.7445449829102,8.44909572601318,2,"Z-stack
(Confocal)",Mitochondria,
0,8388608,0.404786497354507,0.574068839517534,0.762420356273651,0.574068784713745,0.437978386878967,0.950356483459473,-15.9191989898682,8.5213794708252,3,"Z-stack
(Confocal)",Mitochondria,
0,8388608,0.518107235431671,0.454264543559474,0.680062830448151,0.45426470041275,0.349527388811111,0.949374556541443,-13.9580335617065,9.70782279968262,4,"Z-stack
(Confocal)",Mitochondria,
0,8388608,0.417518794536591,0.553942939129927,0.755807280540466,0.553942650556564,0.401533097028732,0.93602043390274,-16.9480800628662,7.49372720718384,5,"Z-stack
(Confocal)",Mitochondria,
0,8388608,0.395897150039673,0.584186551624505,0.765476524829865,0.584186166524887,0.526039004325867,0.952101945877075,-13.494836807251,7.82518672943115,6,"Z-stack
(Confocal)",Mitochondria,
0,8388608,0.493420302867889,0.484511636741659,0.72942179441452,0.48451155424118,0.296552181243896,0.957189798355102,-17.4874629974365,8.55992794036865,7,"Z-stack
(Confocal)",Mitochondria,
0,8388608,0.514832496643066,0.48089981833127,0.724102675914764,0.480899572372436,0.321048945188522,0.991778254508972,-16.1345825195313,10.1296644210815,8,"Z-stack
(Confocal)",Mitochondria,
0,8388608,0.370274096727371,0.615065307222909,0.789674282073975,0.615065008401871,0.471045047044754,0.961913347244263,-13.0915241241455,9.19339561462402,9,"Z-stack
(Confocal)",Mitochondria,
0,8388608,0.498738259077072,0.480400796253792,0.703626871109009,0.480401277542114,0.363520562648773,0.959852755069733,-14.114294052124,12.7007694244385,10,"Z-stack
(Confocal)",Mitochondria,
0,8388608,0.364710003137588,0.625580594142573,0.80774712562561,0.625580251216888,0.440395534038544,0.974067211151123,-16.2485313415527,8.22147274017334,11,"Z-stack
(Confocal)",Mitochondria,
0,8388608,0.512694418430328,0.458463970164796,0.678052961826324,0.458463907241821,0.416656643152237,0.946740984916687,-16.4481105804443,8.42012405395508,12,"Z-stack
(Confocal)",Mitochondria,
0,8388608,0.50676840543747,0.478257636218666,0.692544281482697,0.478257894515991,0.515749573707581,0.971300601959228,-11.6382207870483,7.85518932342529,13,"Z-stack
(Confocal)",Mitochondria,
0,8388608,0.472053617238998,0.481315058367931,0.695220589637756,0.481314837932587,0.384959638118744,0.910096645355225,-15.6951055526733,7.07669734954834,14,"Z-stack
(Confocal)",Mitochondria,
0,8388608,0.497679352760315,0.490366636386012,0.704900860786438,0.490366220474243,0.396156460046768,0.976543128490448,-12.4168376922607,8.77747821807861,15,"Z-stack
(Confocal)",Mitochondria,
0,8388608,0.453485250473022,0.513455892651977,0.722068190574646,0.513455629348755,0.390704870223999,0.932053208351135,-15.1582078933716,7.98269271850586,16,"Z-stack
(Confocal)",Mitochondria,
